Accident_ID,Age,Driver_Experience,Vehicle_Speed,Traffic_Density,Visibility,Number_of_Vehicles,Road_Width,Historical_Accidents,Rainfall,Temperature,Hour,Day_of_Week,Weather,Road_Condition,Road_Type,Junction_Type,Lighting,Traffic_Control,Area_Type,Vehicle_Type,Driver_Distraction,Alcohol_Involved,Accident_Risk
ACC10001,44,25,65.2,46.8,8.67,5,8.2,7,0.24,31.3,2,Wednesday,Clear,Dry,Highway,T-Junction,Poor,Signal,Rural,Motorcycle,No,No,High
ACC10002,48,27,28.2,32.0,8.97,1,11.6,4,35.4,34.8,10,Saturday,Storm,Dry,Urban Road,Crossroad,Daylight,Stop Sign,Urban,SUV,No,No,Low
ACC10003,41,19,72.0,57.4,6.87,5,11.2,3,11.36,32.3,7,Saturday,Rain,Damaged,Urban Road,Crossroad,Daylight,Signal,Urban,Car,No,No,High
ACC10004,34,21,44.0,66.2,12.0,1,5.7,7,0.44,32.1,17,Friday,Cloudy,Dry,Highway,T-Junction,Daylight,Signal,Urban,Bus,Yes,No,Low
ACC10005,19,0,68.2,77.8,11.92,5,9.1,12,0.19,26.7,2,Sunday,Clear,Damaged,Highway,T-Junction,Daylight,Signal,Suburban,Car,No,No,Medium
ACC10006,49,39,33.9,38.4,9.59,2,7.2,7,1.51,23.4,20,Thursday,Clear,Dry,Residential,Roundabout,Daylight,Signal,Rural,Car,No,No,Low
ACC10007,38,28,48.6,59.8,6.8,5,10.2,11,1.7,27.0,4,Wednesday,Clear,Wet,Urban Road,Roundabout,Poor,Signal,Urban,Truck,No,No,High
ACC10008,25,0,71.7,81.6,6.91,2,7.5,5,1.68,17.8,1,Wednesday,Fog,Wet,Highway,Roundabout,Daylight,Traffic Police,Urban,SUV,No,No,High
ACC10009,37,15,53.6,17.0,5.7,3,9.9,9,1.81,25.2,21,Wednesday,Cloudy,Dry,Rural Road,Roundabout,Street Lights,Signal,Suburban,Truck,Yes,No,High
ACC10010,19,9,41.2,42.7,9.26,2,9.3,3,31.94,26.9,23,Wednesday,Rain,Dry,Rural Road,Straight Road,Daylight,Traffic Police,Suburban,Bus,No,No,Low
ACC10011,50,36,66.1,26.1,3.7,3,7.7,7,0.01,24.6,6,Wednesday,Clear,Dry,Residential,Straight Road,Daylight,Signal,Urban,Bus,No,No,Medium
ACC10012,31,15,20.0,65.0,8.24,3,7.8,10,16.71,29.6,17,Sunday,Storm,Wet,Rural Road,Crossroad,Daylight,Signal,Rural,Car,Yes,Yes,High
ACC10013,23,18,78.4,100.0,8.33,4,9.5,5,22.28,20.5,16,Friday,Rain,Dry,Residential,Straight Road,Daylight,Signal,Urban,Bus,No,No,High
ACC10014,49,25,37.8,41.7,5.29,2,9.0,11,0.26,35.7,20,Saturday,Clear,Wet,Urban Road,Straight Road,Street Lights,Stop Sign,Rural,Bus,No,No,Medium
ACC10015,20,13,85.0,89.7,9.21,2,5.8,3,1.09,29.9,16,Friday,Clear,Dry,Highway,Roundabout,Daylight,Uncontrolled,Urban,Motorcycle,No,No,High
ACC10016,35,14,71.0,82.1,7.0,4,12.6,9,0.17,23.0,4,Thursday,Clear,Dry,Urban Road,Roundabout,Daylight,Stop Sign,Urban,Motorcycle,Yes,No,High
ACC10017,36,11,52.6,59.6,8.07,5,9.9,1,0.07,26.5,3,Saturday,Clear,Dry,Urban Road,T-Junction,Daylight,Signal,Urban,Bus,No,No,Medium
ACC10018,21,2,65.8,48.4,7.78,5,8.9,4,9.42,21.4,0,Saturday,Cloudy,Dry,Urban Road,Roundabout,Daylight,Traffic Police,Urban,Bus,No,No,Medium
ACC10019,31,7,25.2,45.5,6.69,3,10.1,6,0.22,18.6,10,Tuesday,Clear,Dry,Urban Road,T-Junction,Street Lights,Traffic Police,Urban,Car,No,No,Low
ACC10020,18,13,43.8,98.7,7.27,5,6.1,5,0.31,34.2,15,Thursday,Clear,Damaged,Urban Road,T-Junction,Daylight,Signal,Suburban,Bus,No,No,Medium
ACC10021,30,18,49.1,40.2,9.36,4,5.8,4,5.59,20.7,3,Sunday,Cloudy,Wet,Urban Road,Straight Road,Street Lights,Stop Sign,Urban,Bus,No,No,Low
ACC10022,18,3,64.4,68.6,10.78,4,5.3,8,0.36,17.7,14,Wednesday,Clear,Dry,Urban Road,Roundabout,Street Lights,Stop Sign,Suburban,Car,No,No,Medium
ACC10023,45,24,57.3,39.1,10.02,6,4.3,10,0.51,26.3,10,Tuesday,Clear,Damaged,Residential,Straight Road,Daylight,Signal,Urban,Truck,No,Yes,High
ACC10024,28,10,52.6,19.4,10.53,6,8.8,3,0.24,27.3,3,Saturday,Clear,Wet,Urban Road,Roundabout,Daylight,Signal,Urban,Car,No,No,Low
ACC10025,22,2,49.6,38.0,4.27,5,7.7,2,0.91,21.4,3,Sunday,Cloudy,Damaged,Rural Road,Straight Road,Street Lights,Stop Sign,Rural,Car,No,No,Medium
